id,fund_manager,fund,fund_all_names,e_vote,s_vote,g_vote,e_support,s_support,g_support,fund_is_esg,sum_votes
62,2,SPDR(R) S&P Regional Banking(SM) ETF,"['SPDR(R) KBW Regional Banking(SM) ETF', 'SPDR(R) S&P Regional Banking(SM) ETF']",2,9,39,2,10,46,0,50
228,0,BLACKROCK STRATEGIC INCOME OPPORTUNITIES PORTFOLIO,['BLACKROCK STRATEGIC INCOME OPPORTUNITIES PORTFOLIO'],6,25,20,0,0,1.960784314,0,51
65,2,SPDR(R) S&P(R) Health Care Equipment ETF,['SPDR(R) S&P(R) Health Care Equipment ETF'],9,5,39,8.490566038,0.943396226,34.90566038,0,53
54,2,SPDR(R) S&P(R) Homebuilders ETF,['SPDR(R) S&P(R) Homebuilders ETF'],7,14,33,4.62962963,9.259259259,27.77777778,0,54
107,0,iShares MSCI EAFE ETF,"['iShares MSCI EAFE Index Fund', 'iShares MSCI EAFE ETF']",7,9,39,0,0,3.636363636,0,55
42,2,SPDR(R) S&P Insurance ETF,"['SPDR(R) KBW Insurance ETF', 'SPDR(R) S&P Insurance ETF']",7,26,24,7.01754386,15.78947368,15.78947368,0,57
298,1,Vanguard Dividend Appreciation Index Fund,['Vanguard Dividend Appreciation Index Fund'],3,27,27,0,1.754385965,3.50877193,0,57
19,1,Vanguard U.S. Liquidity Factor ETF,['Vanguard U.S. Liquidity Factor ETF'],17,17,26,10,3.333333333,5,0,60
217,2,SPDR MSCI Canada StrategicFactors Currency Hedged ETF,['SPDR MSCI Canada StrategicFactors Currency Hedged ETF'],7,25,28,3.333333333,3.333333333,0,0,60
338,0,BLACKROCK ADVANTAGE SMALL CAP GROWTH FUND,"['BLACKROCK SMALL CAP GROWTH EQUITY PORTFOLIO', 'BLACKROCK ADVANTAGE SMALL CAP GROWTH FUND']",11,10,39,0,0,51.66666667,0,60
39,2,SPDR(R) Dow Jones REIT ETF,['SPDR(R) Dow Jones REIT ETF'],5,5,50,4.166666667,4.166666667,41.66666667,0,60
172,2,SPDR(R) Dow Jones Global Real Estate ETF,['SPDR(R) Dow Jones Global Real Estate ETF'],5,5,50,4.166666667,4.166666667,41.66666667,0,60
375,0,iShares Edge MSCI USA Quality Factor Index Fund,['iShares Edge MSCI USA Quality Factor Index Fund'],9,30,22,1.639344262,0,1.639344262,0,61
243,2,Direxion iBillionaire Index ETF,['Direxion iBillionaire Index ETF'],4,29,28,6.557377049,21.31147541,26.2295082,0,61
10,2,State Street Institutional Premier Growth Equity Fund,"['Premier Growth Equity Fund', 'State Street Institutional Premier Growth Equity Fund']",7,32,23,0,0,14.51612903,0,62
307,2,State Street Premier Growth Equity V.I.S. Fund,"['Premier Growth Equity Fund', 'State Street Premier Growth Equity V.I.S. Fund']",7,32,23,0,0,14.51612903,0,62
67,2,SPDR(R) S&P(R) Metals & Mining ETF,['SPDR(R) S&P(R) Metals & Mining ETF'],18,17,27,16.12903226,19.35483871,17.74193548,0,62
142,2,STATE STREET HEDGED INTERNATIONAL DEVELOPED EQUITY INDEX FUND,['STATE STREET HEDGED INTERNATIONAL DEVELOPED EQUITY INDEX FUND'],40,15,8,1.587301587,0,0,0,63
290,1,Vanguard Small-Cap Index Fund,['Vanguard Small-Cap Index Fund'],6,15,42,4.761904762,6.349206349,33.33333333,0,63
